               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.010549,           0.0046913,           0.0042196,             0.97667,              0.9588,             0.99152,             0.92096,           0.0078976,           0.0025097,            0.001591,            0.003328,            0.003328,            0.070048
                   1,            0.011971,           0.0047336,           0.0037032,             0.99635,             0.92505,             0.98599,             0.88976,           0.0094316,           0.0026881,           0.0022479,           0.0066612,           0.0066612,            0.040048
                   2,            0.013473,            0.004832,           0.0043266,             0.95396,             0.97522,             0.98963,             0.88862,            0.011201,           0.0029109,           0.0019196,           0.0099938,           0.0099938,            0.010047
                   3,            0.014403,           0.0053803,           0.0048711,             0.97612,             0.94007,             0.99091,             0.87646,             0.01146,           0.0032049,           0.0021676,            0.009998,            0.009998,            0.009998
                   4,             0.01414,           0.0054903,           0.0053176,             0.97504,             0.97381,             0.98314,             0.87947,            0.010767,           0.0031003,           0.0019548,            0.009998,            0.009998,            0.009998
                   5,            0.014194,            0.005432,           0.0051011,             0.97235,             0.98249,             0.98325,             0.89005,           0.0099542,           0.0030384,           0.0014675,           0.0099965,           0.0099965,           0.0099965
                   6,              0.0141,           0.0054846,           0.0062043,             0.89129,             0.94249,             0.97731,             0.88977,           0.0093584,           0.0030028,           0.0039151,           0.0099945,           0.0099945,           0.0099945
                   7,            0.014258,           0.0054394,           0.0050823,             0.95082,             0.92623,             0.97648,             0.88259,           0.0097291,           0.0031025,            0.004205,           0.0099921,           0.0099921,           0.0099921
                   8,              0.0142,            0.005447,           0.0047822,              0.9585,             0.95931,             0.99143,             0.89528,            0.009711,           0.0030282,           0.0020791,           0.0099893,           0.0099893,           0.0099893
                   9,            0.014148,           0.0053806,           0.0051114,             0.94995,             0.97828,             0.99191,             0.88593,            0.010204,           0.0030447,            0.002028,            0.009986,            0.009986,            0.009986
                  10,            0.014034,           0.0053949,           0.0043401,             0.94333,             0.96531,             0.97818,             0.88095,             0.01008,           0.0029757,           0.0026501,           0.0099822,           0.0099822,           0.0099822
                  11,            0.014146,           0.0054574,           0.0051806,             0.91921,             0.96129,             0.97774,             0.86742,            0.011187,           0.0030062,           0.0028608,           0.0099781,           0.0099781,           0.0099781
